Time (s),8b10bIBM_Hex
5.632952e-08,55
1.120242e-07,8a
1.676599e-07,1b
2.233066e-07,be
2.788796e-07,1a
3.344593e-07,bb
3.900158e-07,3d
4.456275e-07,b7
5.011321e-07,56
5.567593e-07,fa
6.122603e-07,1b
6.678199e-07,0b
7.233788e-07,f6
7.789148e-07,53
8.344784e-07,41
8.900525e-07,9c
9.455913e-07,80
1.001120e-06,f0
1.056669e-06,4a
1.112215e-06,c3
1.167788e-06,7f
1.223348e-06,74
1.278887e-06,91
1.334429e-06,52
1.389929e-06,86
1.445459e-06,be
1.501010e-06,b6
1.556590e-06,a7
1.612135e-06,6f
1.667724e-06,7a
1.723278e-06,d6
1.778804e-06,e6
1.834351e-06,63
1.889954e-06,31
1.945503e-06,0c
2.001083e-06,fe
2.056649e-06,36
2.112238e-06,f0
2.167807e-06,29
2.223348e-06,ea
2.278849e-06,f3
2.334434e-06,1e
2.389941e-06,94
2.445545e-06,26
2.501088e-06,34
2.556652e-06,eb
2.612158e-06,17
2.667754e-06,3b
2.723287e-06,85
2.778862e-06,53
2.834396e-06,4d
2.889958e-06,dc
2.945462e-06,4a
3.001057e-06,e9
3.056597e-06,88
3.112128e-06,0e
3.167723e-06,20
3.223308e-06,5d
3.278835e-06,d0
3.334359e-06,ed
3.389949e-06,01
3.445469e-06,69
3.501060e-06,de
3.556617e-06,38
3.612179e-06,9e
3.667757e-06,fa
3.723257e-06,07
3.778831e-06,4b
3.834380e-06,db
3.889921e-06,68
3.945467e-06,7b
4.001072e-06,43
4.056606e-06,0a
4.112132e-06,45
4.167706e-06,08
4.223310e-06,d7
4.278839e-06,0d
4.334357e-06,96
4.389961e-06,98
4.445517e-06,e6
4.501067e-06,35
4.556595e-06,3f
4.612150e-06,a5
4.667747e-06,98
4.723297e-06,76
4.778817e-06,fe
4.834349e-06,15
4.889903e-06,f7
4.945486e-06,0e
5.001040e-06,c8
5.056572e-06,af
5.112119e-06,90
5.167715e-06,60
5.223293e-06,66
5.278829e-06,cb
5.334341e-06,d5
5.389902e-06,f0
5.445448e-06,fa
5.500979e-06,9f
5.556580e-06,00
5.612105e-06,82
5.667706e-06,2b
5.723291e-06,91
5.778807e-06,74
5.834354e-06,31
5.889938e-06,0e
5.945431e-06,1e
6.000975e-06,6a
6.056600e-06,f4
6.112113e-06,76
6.167711e-06,48
6.223319e-06,69
6.278853e-06,6d
6.334391e-06,f4
6.389942e-06,93
6.445505e-06,8a
6.501034e-06,cd
6.556562e-06,7b
6.612137e-06,7e
6.667669e-06,ad
6.723263e-06,13
6.778825e-06,15
6.834367e-06,ee
6.889887e-06,fe
6.945447e-06,72
7.001044e-06,1e
7.056578e-06,3b
7.112118e-06,aa
7.167637e-06,14
7.223135e-06,a0
7.278767e-06,e7
7.334283e-06,d4
7.389833e-06,aa
7.445436e-06,23
7.501020e-06,67
7.556569e-06,9e
7.612103e-06,dc
7.667657e-06,b0
7.723285e-06,fb
7.778796e-06,73
7.834360e-06,a5
7.889919e-06,e0
7.945478e-06,4f
8.001034e-06,94
8.056570e-06,ca
